,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,29,NCD_PAA,COUNTRY,KNA,YEAR,AMR,Americas,SEX,2015,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,38.6 [24.0-53.8],38.649147,24.015909,53.761047,,2024-06-21T13:42:48.827+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1,695,NCD_PAA,COUNTRY,WSM,YEAR,WPR,Western Pacific,SEX,2007,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,28.9 [22.9-35.3],28.883972,22.874971,35.296017,,2024-06-21T13:42:48.827+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2,3217,NCD_PAA,COUNTRY,JPN,YEAR,WPR,Western Pacific,SEX,2006,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,29.5 [13.7-50.6],29.484329,13.722679,50.564968,,2024-06-21T13:42:48.827+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
3,3240,NCD_PAA,GLOBAL,GLOBAL,YEAR,,,SEX,2002,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,21.5 [18.7-24.7],21.511904,18.698532,24.674263,,2024-06-21T13:42:48.827+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4,3294,NCD_PAA,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,SEX,2006,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,24.6 [10.8-42.5],24.58548,10.847883,42.450493,,2024-06-21T13:42:48.827+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5,3543,NCD_PAA,COUNTRY,MMR,YEAR,SEAR,South-East Asia,SEX,2020,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,19.8 [10.0-33.0],19.835592,9.9832296,33.001373,,2024-06-21T13:42:48.827+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6,4460,NCD_PAA,COUNTRY,TUR,YEAR,EUR,Europe,SEX,2017,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,43.3 [34.5-52.4],43.308422,34.450211,52.447277,,2024-06-21T13:42:48.827+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7,4536,NCD_PAA,REGION,WPR,YEAR,,,SEX,2017,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,24.1 [19.8-28.8],24.124517,19.802994,28.83634,,2024-06-21T13:42:48.827+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8,5878,NCD_PAA,COUNTRY,FRA,YEAR,EUR,Europe,SEX,2002,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,37.7 [31.6-44.1],37.654327,31.56358,44.057453,,2024-06-21T13:42:48.827+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9,5886,NCD_PAA,COUNTRY,BWA,YEAR,AFR,Africa,SEX,2003,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,27.9 [19.2-37.7],27.909302,19.211874,37.671467,,2024-06-21T13:42:48.827+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
