,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,26,NCD_UNDER70,COUNTRY,MOZ,YEAR,AFR,Africa,SEX,SEX_MLE,2014,GHECAUSES,GHECAUSES_GHE060,,,,,69,69.204048157,,,,2025-03-14T17:05:12.157+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1,494,NCD_UNDER70,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2004,GHECAUSES,GHECAUSES_GHE060,,,,,30,30.313163757,,,,2025-03-14T17:05:12.157+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2,1193,NCD_UNDER70,COUNTRY,KGZ,YEAR,EUR,Europe,SEX,SEX_MLE,2008,GHECAUSES,GHECAUSES_GHE060,,,,,60,60.185379028,,,,2025-03-14T17:05:12.157+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
3,1634,NCD_UNDER70,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_MLE,2008,GHECAUSES,GHECAUSES_GHE060,,,,,34,33.708759308,,,,2025-03-14T17:05:12.157+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4,2396,NCD_UNDER70,COUNTRY,WSM,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2000,GHECAUSES,GHECAUSES_GHE060,,,,,48,48.113395691,,,,2025-03-14T17:05:12.157+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5,4115,NCD_UNDER70,COUNTRY,KHM,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2007,GHECAUSES,GHECAUSES_GHE060,,,,,65,65.140403748,,,,2025-03-14T17:05:12.157+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6,4503,NCD_UNDER70,COUNTRY,MDG,YEAR,AFR,Africa,SEX,SEX_FMLE,2013,GHECAUSES,GHECAUSES_GHE060,,,,,62,62.488227844,,,,2025-03-14T17:05:12.157+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7,4847,NCD_UNDER70,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2010,GHECAUSES,GHECAUSES_GHE060,,,,,65,65.492095947,,,,2025-03-14T17:05:12.157+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8,5364,NCD_UNDER70,REGION,EUR,YEAR,,,SEX,SEX_FMLE,2000,GHECAUSES,GHECAUSES_GHE060,,,,,25,25.373262405,,,,2025-03-14T17:05:12.157+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9,5746,NCD_UNDER70,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2000,GHECAUSES,GHECAUSES_GHE060,,,,,71,70.951797485,,,,2025-03-14T17:05:12.157+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
10,6826,NCD_UNDER70,COUNTRY,BTN,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2012,GHECAUSES,GHECAUSES_GHE060,,,,,49,49.029396057,,,,2025-03-14T17:05:12.157+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11,8579,NCD_UNDER70,COUNTRY,GUY,YEAR,AMR,Americas,SEX,SEX_FMLE,2011,GHECAUSES,GHECAUSES_GHE060,,,,,53,53.494445801,,,,2025-03-14T17:05:12.157+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
