,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,732,SA_0000001400,COUNTRY,NGA,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,1969,,,,,DATASOURCE,DATASOURCE_GISAHNGA,0,0.0,,,,2018-05-11T09:09:10+02:00,1969,1969-01-01T00:00:00+01:00,1969-12-31T00:00:00+01:00
1,742,SA_0000001400,COUNTRY,PNG,WPR,YEAR,Western Pacific,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1973,,,,,DATASOURCE,DATASOURCE_GISAHPNG,0.21,0.21,,,,2018-05-11T09:04:40+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
2,1065,SA_0000001400,COUNTRY,USA,AMR,YEAR,Americas,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,1981,,,,,DATASOURCE,DATASOURCE_GISAHUSA,5.26,5.26,,,,2018-05-11T09:09:54+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
3,1245,SA_0000001400,COUNTRY,GTM,AMR,YEAR,Americas,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,1995,,,,,DATASOURCE,DATASOURCE_GISAHGTM,0,0.0,,,,2018-05-11T09:07:34+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
4,1313,SA_0000001400,COUNTRY,BRA,AMR,YEAR,Americas,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1968,,,,,DATASOURCE,DATASOURCE_GISAHBRA,1.41,1.41,,,,2018-05-11T09:12:34+02:00,1968,1968-01-01T00:00:00+01:00,1968-12-31T00:00:00+01:00
5,1489,SA_0000001400,COUNTRY,GIN,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,1966,,,,,DATASOURCE,DATASOURCE_GISAHGIN,0.16,0.16,,,,2018-05-11T09:14:17+02:00,1966,1966-01-01T00:00:00+01:00,1966-12-31T00:00:00+01:00
6,2874,SA_0000001400,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1995,,,,,DATASOURCE,DATASOURCE_GISAHMAR,0.05,0.05,,,,2018-05-11T09:16:08+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
7,3218,SA_0000001400,COUNTRY,CZE,EUR,YEAR,Europe,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1986,,,,,DATASOURCE,DATASOURCE_GISAHCZE,4.43,4.43,,,,2018-05-11T09:03:21+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
8,3313,SA_0000001400,COUNTRY,ITA,EUR,YEAR,Europe,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,1995,,,,,DATASOURCE,DATASOURCE_GISAHITA,7.19,7.19,,,,2018-05-11T09:22:40+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
9,3384,SA_0000001400,COUNTRY,KIR,WPR,YEAR,Western Pacific,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,2007,,,,,DATASOURCE,DATASOURCE_GISAHKIR,0,0.0,,,,2025-06-27T08:55:48.21+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
10,3482,SA_0000001400,COUNTRY,ZAF,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,2018,,,,,DATASOURCE,DATASOURCE_GISAHZAF,0.7,0.73,,,,2025-06-27T08:55:48.21+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
11,3522,SA_0000001400,COUNTRY,BTN,SEAR,YEAR,South-East Asia,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,1989,,,,,DATASOURCE,DATASOURCE_GISAHBTN,0.31,0.31,,,,2018-05-11T09:17:43+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
12,3589,SA_0000001400,COUNTRY,POL,EUR,YEAR,Europe,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,1991,,,,,DATASOURCE,DATASOURCE_GISAHPOL,8.63,8.63,,,,2018-05-11T09:17:34+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
13,3601,SA_0000001400,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,1987,,,,,DATASOURCE,DATASOURCE_GISAHIRQ,0.01,0.01,,,,2018-05-11T09:23:01+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
14,4030,SA_0000001400,COUNTRY,RWA,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,2011,,,,,DATASOURCE,DATASOURCE_GISAHRWA,0.9,0.893885894,,,,2025-06-27T08:55:48.21+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
15,4508,SA_0000001400,COUNTRY,SVN,EUR,YEAR,Europe,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,1984,,,,,DATASOURCE,DATASOURCE_GISAHSVN,17.23,17.23,,,,2018-05-11T09:21:59+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
16,4801,SA_0000001400,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,1974,,,,,DATASOURCE,DATASOURCE_GISAHDJI,1.41,1.41,,,,2018-05-11T09:18:51+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
17,4940,SA_0000001400,COUNTRY,COG,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,1990,,,,,DATASOURCE,DATASOURCE_GISAHCOG,2.10,2.1,,,,2018-05-11T09:15:21+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
18,5071,SA_0000001400,COUNTRY,COD,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,1985,,,,,DATASOURCE,DATASOURCE_GISAHCOD,0.01,0.01,,,,2018-05-11T09:04:52+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
19,5370,SA_0000001400,COUNTRY,GNB,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,2013,,,,,DATASOURCE,DATASOURCE_GISAHGNB,0.5,0.532303682,,,,2025-06-27T08:55:48.21+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
20,5546,SA_0000001400,COUNTRY,ERI,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,1989,,,,,DATASOURCE,DATASOURCE_GISAHERI,0.21,0.21,,,,2018-05-11T09:09:39+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
21,5617,SA_0000001400,COUNTRY,ZWE,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,1971,,,,,DATASOURCE,DATASOURCE_GISAHZWE,0.61,0.61,,,,2018-05-11T09:06:59+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
22,5648,SA_0000001400,COUNTRY,CHN,WPR,YEAR,Western Pacific,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,2012,,,,,DATASOURCE,DATASOURCE_GISAHCHN,6,6.02,,,,2025-06-27T08:55:48.21+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
23,5690,SA_0000001400,COUNTRY,COM,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,1989,,,,,DATASOURCE,DATASOURCE_GISAHCOM,0.09,0.09,,,,2018-05-11T09:12:59+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
24,5989,SA_0000001400,COUNTRY,CAF,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,2015,,,,,DATASOURCE,DATASOURCE_GISAHCAF,1,0.986591831,,,,2025-06-27T08:55:48.21+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
25,6005,SA_0000001400,COUNTRY,URY,AMR,YEAR,Americas,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,2014,,,,,DATASOURCE,DATASOURCE_GISAHURY,0,0.0,,,,2025-06-27T08:55:48.21+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
26,7121,SA_0000001400,COUNTRY,AGO,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1998,,,,,DATASOURCE,DATASOURCE_GISAHAGO,0.42,0.42,,,,2018-05-11T09:16:11+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
27,7194,SA_0000001400,COUNTRY,BEN,AFR,YEAR,Africa,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,2020,,,,,DATASOURCE,DATASOURCE_GISAHBEN,0.9,0.918139446,,,,2025-06-27T08:55:48.21+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
28,7278,SA_0000001400,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1965,,,,,DATASOURCE,DATASOURCE_GISAHMAR,0.26,0.26,,,,2018-05-11T09:08:23+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
29,7461,SA_0000001400,COUNTRY,SLV,AMR,YEAR,Americas,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,2012,,,,,DATASOURCE,DATASOURCE_GISAHSLV,1,1.011670053,,,,2025-06-27T08:55:48.21+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
30,7462,SA_0000001400,COUNTRY,BGD,SEAR,YEAR,South-East Asia,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,1997,,,,,DATASOURCE,DATASOURCE_GISAHBGD,0,0.0,,,,2018-05-11T09:05:05+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
31,7474,SA_0000001400,COUNTRY,FSM,WPR,YEAR,Western Pacific,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,2004,,,,,DATASOURCE,DATASOURCE_GISAHFSM,2,2.03,,,,2025-06-27T08:55:48.21+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
32,7503,SA_0000001400,COUNTRY,UKR,EUR,YEAR,Europe,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,2013,,,,,DATASOURCE,DATASOURCE_GISAHUKR,5,5.01,,,,2025-06-27T08:55:48.21+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
33,7639,SA_0000001400,COUNTRY,VEN,AMR,YEAR,Americas,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,1973,,,,,DATASOURCE,DATASOURCE_GISAHVEN,5.61,5.61,,,,2018-05-11T09:08:11+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
34,7696,SA_0000001400,COUNTRY,SGP,WPR,YEAR,Western Pacific,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1990,,,,,DATASOURCE,DATASOURCE_GISAHSGP,0.51,0.51,,,,2018-05-11T09:18:02+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
