,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,2684,WHS2_131,COUNTRY,MNG,WPR,YEAR,Western Pacific,SEX,2008,SEX_MLE,,,,,,,1150 [800-1640],1154.453613281,795.569702148,1643.545288086,,2025-03-19T11:00:50.48+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1,7743,WHS2_131,COUNTRY,ITA,EUR,YEAR,Europe,SEX,2015,SEX_MLE,,,,,,,390 [330-450],388.302093506,329.329803467,449.941070557,,2025-03-19T11:00:50.48+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2,8286,WHS2_131,COUNTRY,BOL,AMR,YEAR,Americas,SEX,2018,SEX_MLE,,,,,,,530 [240-720],532.339111328,240.799758911,719.994750977,,2025-03-19T11:00:50.48+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3,13913,WHS2_131,COUNTRY,SLE,AFR,YEAR,Africa,SEX,2007,SEX_BTSX,,,,,,,690 [400-1140],692.518249512,396.741638184,1143.28112793,,2025-03-19T11:00:50.48+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4,14456,WHS2_131,REGION,EMR,,YEAR,,SEX,2015,SEX_MLE,,,,,,,680 [440-980],683.153686523,441.366943359,979.37512207,,2025-03-19T11:00:50.48+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5,20154,WHS2_131,COUNTRY,MWI,AFR,YEAR,Africa,SEX,2020,SEX_FMLE,,,,,,,610 [350-1130],612.002990723,347.580841064,1131.660400391,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6,20794,WHS2_131,COUNTRY,CAN,AMR,YEAR,Americas,SEX,2013,SEX_MLE,,,,,,,380 [300-460],377.850463867,302.091918945,464.15713501,,2025-03-19T11:00:50.48+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7,21214,WHS2_131,REGION,AFR,,YEAR,,SEX,2020,SEX_BTSX,,,,,,,600 [340-950],601.875,340.742126465,946.835998535,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
8,26502,WHS2_131,COUNTRY,KAZ,EUR,YEAR,Europe,SEX,2000,SEX_BTSX,,,,,,,970 [790-1110],966.758972168,789.28527832,1111.155639648,,2025-03-19T11:00:50.48+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9,27823,WHS2_131,COUNTRY,SLB,WPR,YEAR,Western Pacific,SEX,2019,SEX_BTSX,,,,,,,930 [500-1220],934.530883789,501.173828125,1223.597167969,,2025-03-19T11:00:50.48+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
10,39543,WHS2_131,COUNTRY,PSE,EMR,YEAR,Eastern Mediterranean,SEX,2008,SEX_FMLE,,,,,,,630 [440-870],627.620910645,443.543243408,866.592285156,,2025-03-19T11:00:50.48+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
11,45697,WHS2_131,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,SEX,2008,SEX_FMLE,,,,,,,730 [470-1080],728.057434082,467.44631958,1079.571044922,,2025-03-19T11:00:50.48+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
12,45941,WHS2_131,COUNTRY,SSD,AFR,YEAR,Africa,SEX,2000,SEX_BTSX,,,,,,,570 [290-1040],567.75604248,287.866790771,1043.255859375,,2025-03-19T11:00:50.48+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
13,46673,WHS2_131,COUNTRY,LTU,EUR,YEAR,Europe,SEX,2018,SEX_FMLE,,,,,,,380 [310-480],377.030578613,312.749816895,483.873443604,,2025-03-19T11:00:50.48+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
14,52354,WHS2_131,COUNTRY,TUR,EUR,YEAR,Europe,SEX,2006,SEX_BTSX,,,,,,,480 [290-630],482.273620605,287.670715332,633.927734375,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
15,58125,WHS2_131,COUNTRY,BFA,AFR,YEAR,Africa,SEX,2010,SEX_BTSX,,,,,,,680 [360-1240],683.433349609,358.383544922,1244.414306641,,2025-03-19T11:00:50.48+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
16,58190,WHS2_131,COUNTRY,CPV,AFR,YEAR,Africa,SEX,2006,SEX_BTSX,,,,,,,430 [320-810],426.570953369,318.311248779,812.245361328,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
17,65796,WHS2_131,COUNTRY,ATG,AMR,YEAR,Americas,SEX,2005,SEX_FMLE,,,,,,,470 [360-570],468.353393555,364.797668457,565.056030273,,2025-03-19T11:00:50.48+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
18,66005,WHS2_131,COUNTRY,NER,AFR,YEAR,Africa,SEX,2005,SEX_MLE,,,,,,,580 [280-1070],580.184570313,279.331665039,1074.318847656,,2025-03-19T11:00:50.48+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
19,71216,WHS2_131,COUNTRY,CYP,EUR,YEAR,Europe,SEX,2005,SEX_BTSX,,,,,,,400 [270-560],396.005249023,269.04989624,561.005554199,,2025-03-19T11:00:50.48+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
20,78316,WHS2_131,COUNTRY,BOL,AMR,YEAR,Americas,SEX,2011,SEX_BTSX,,,,,,,550 [260-790],553.176025391,262.265899658,794.536254883,,2025-03-19T11:00:50.48+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
21,78651,WHS2_131,COUNTRY,COL,AMR,YEAR,Americas,SEX,2003,SEX_BTSX,,,,,,,500 [390-600],496.224853516,390.152893066,595.25970459,,2025-03-19T11:00:50.48+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
22,83591,WHS2_131,COUNTRY,GMB,AFR,YEAR,Africa,SEX,2017,SEX_BTSX,,,,,,,650 [360-1110],646.274658203,356.67288208,1105.264892578,,2025-03-19T11:00:50.48+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
23,84419,WHS2_131,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,SEX,2012,SEX_FMLE,,,,,,,390 [240-730],394.424957275,240.653198242,726.195983887,,2025-03-19T11:00:50.48+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
24,90597,WHS2_131,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,SEX,2021,SEX_FMLE,,,,,,,460 [260-680],459.001861572,256.84286499,684.487915039,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
25,97656,WHS2_131,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,SEX,2018,SEX_FMLE,,,,,,,690 [430-1050],691.51159668,430.563262939,1050.403198242,,2025-03-19T11:00:50.48+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
26,102583,WHS2_131,COUNTRY,PRK,SEAR,YEAR,South-East Asia,SEX,2006,SEX_FMLE,,,,,,,560 [350-1000],564.063171387,349.328979492,998.272094727,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
27,102614,WHS2_131,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,SEX,2005,SEX_BTSX,,,,,,,520 [350-920],519.454345703,351.488861084,920.727783203,,2025-03-19T11:00:50.48+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
28,102932,WHS2_131,COUNTRY,BLR,EUR,YEAR,Europe,SEX,2007,SEX_FMLE,,,,,,,570 [500-720],574.833312988,503.348449707,715.412109375,,2025-03-19T11:00:50.48+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
29,102990,WHS2_131,COUNTRY,ISL,EUR,YEAR,Europe,SEX,2016,SEX_MLE,,,,,,,350 [280-440],350.970397949,277.90838623,444.030700684,,2025-03-19T11:00:50.48+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
30,103159,WHS2_131,REGION,SEAR,,YEAR,,SEX,2000,SEX_BTSX,,,,,,,560 [400-800],561.797119141,398.613098145,803.710388184,,2025-03-19T11:00:50.48+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
31,103302,WHS2_131,COUNTRY,GNB,AFR,YEAR,Africa,SEX,2020,SEX_FMLE,,,,,,,620 [310-990],619.694580078,306.473144531,988.475891113,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
32,103693,WHS2_131,COUNTRY,ATG,AMR,YEAR,Americas,SEX,2019,SEX_FMLE,,,,,,,500 [390-630],503.4012146,385.788848877,629.881835938,,2025-03-19T11:00:50.48+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
33,109175,WHS2_131,REGION,EMR,,YEAR,,SEX,2005,SEX_FMLE,,,,,,,650 [420-980],647.084411621,421.709838867,983.104858398,,2025-03-19T11:00:50.48+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
