,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,807,NCD_PAC,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,SEX,2004,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,21.6 [10.4-35.7],21.599522,10.399239,35.663475,,2024-06-21T13:42:48.827+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1,1090,NCD_PAC,COUNTRY,LVA,EUR,YEAR,Europe,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,18.5 [10.9-28.1],18.534456,10.88063,28.138763,,2024-06-21T13:42:48.827+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2,1528,NCD_PAC,COUNTRY,TKM,EUR,YEAR,Europe,SEX,2015,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,13.6 [6.9-22.4],13.589655,6.9175987,22.373041,,2024-06-21T13:42:48.827+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3,1757,NCD_PAC,COUNTRY,FRA,EUR,YEAR,Europe,SEX,2017,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,34.6 [26.4-43.2],34.574268,26.418528,43.210236,,2024-06-21T13:42:48.827+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4,2053,NCD_PAC,COUNTRY,SLV,AMR,YEAR,Americas,SEX,2007,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,26.5 [14.0-41.8],26.513344,13.998728,41.84819,,2024-06-21T13:42:48.827+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
5,2946,NCD_PAC,COUNTRY,GEO,EUR,YEAR,Europe,SEX,2020,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,24.1 [13.6-36.6],24.128315,13.59764,36.587654,,2024-06-21T13:42:48.827+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6,3034,NCD_PAC,COUNTRY,CZE,EUR,YEAR,Europe,SEX,2009,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,23.5 [17.6-30.0],23.451614,17.556915,30.018133,,2024-06-21T13:42:48.827+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7,3625,NCD_PAC,COUNTRY,THA,SEAR,YEAR,South-East Asia,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,32.7 [24.7-41.4],32.707058,24.713928,41.409164,,2024-06-21T13:42:48.827+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8,5143,NCD_PAC,COUNTRY,MDV,SEAR,YEAR,South-East Asia,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,22.7 [13.7-33.2],22.689114,13.738091,33.215393,,2024-06-21T13:42:48.827+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9,5527,NCD_PAC,COUNTRY,BIH,EUR,YEAR,Europe,SEX,2011,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,14.7 [6.8-25.3],14.695327,6.8329906,25.34148,,2024-06-21T13:42:48.827+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
