country_name,residual,kind
Burkina Faso,13.694405361407973,over-performing
Estonia,8.306084744167427,over-performing
Lithuania,6.388049305578566,over-performing
Belarus,6.159278245668228,over-performing
Czechia,5.97802104661185,over-performing
Benin,5.854052387226272,over-performing
Qatar,-7.892664808634395,under-performing
Kuwait,-7.783741138114325,under-performing
Brunei Darussalam,-7.044972576724134,under-performing
Singapore,-6.699168106313586,under-performing
Oman,-6.451427598983625,under-performing
Libya,-5.8075185247114725,under-performing
