country_name,residual,kind
Burkina Faso,13.583141546037405,over-performing
Estonia,8.260924430470299,over-performing
Benin,6.668941303288193,over-performing
Lithuania,6.300456833109758,over-performing
Belarus,6.198218300215462,over-performing
Czechia,5.728193937330532,over-performing
Kuwait,-6.866884586155289,under-performing
Qatar,-6.356124778484217,under-performing
Singapore,-5.920410551303357,under-performing
Libya,-5.495418190720523,under-performing
Brunei Darussalam,-5.454643892301092,under-performing
Oman,-5.453504812160889,under-performing
