country_name,residual,kind
Paraguay,18.338289832176713,over-performing
Belarus,11.587971192240516,over-performing
Lithuania,11.41689452500917,over-performing
Dominican Republic,10.680075446236167,over-performing
Hungary,10.50811625936624,over-performing
Poland,9.88499059738701,over-performing
Peru,-18.114509176912183,under-performing
Canada,-14.682030120226688,under-performing
Eritrea,-14.046979246973141,under-performing
Cambodia,-13.664377285836565,under-performing
Switzerland,-13.63062771817965,under-performing
Papua New Guinea,-12.631629991183203,under-performing
