country_name,residual,kind
Paraguay,18.34963282514039,over-performing
Belarus,11.58579486732252,over-performing
Lithuania,11.429897180107915,over-performing
Dominican Republic,10.661690723162685,over-performing
Hungary,10.527115633961394,over-performing
Poland,9.896238937250622,over-performing
Peru,-18.128025709798347,under-performing
Canada,-14.62236200709199,under-performing
Eritrea,-14.067385243814332,under-performing
Cambodia,-13.67868018596652,under-performing
Switzerland,-13.568342275565318,under-performing
Papua New Guinea,-12.71021342682397,under-performing
