country_name,residual,kind
Nauru,46.961861469904576,over-performing
Tonga,46.5698465542512,over-performing
Tuvalu,42.048638171111406,over-performing
Samoa,39.03399766130447,over-performing
Kiribati,28.547579102812406,over-performing
Marshall Islands,24.612222985960578,over-performing
Japan,-22.30362420778661,under-performing
Singapore,-18.370807900245453,under-performing
Switzerland,-17.218632064671638,under-performing
Viet Nam,-15.649901446185627,under-performing
China,-15.316697149634496,under-performing
France,-15.266460914955372,under-performing
