country_name,residual,kind
Tonga,46.7572066968017,over-performing
Nauru,45.026989953985066,over-performing
Samoa,39.06299960983983,over-performing
Tuvalu,38.33756021028387,over-performing
Kiribati,26.786626421198015,over-performing
Marshall Islands,21.676708573374178,over-performing
Japan,-23.829377198418015,under-performing
Switzerland,-18.68237998422007,under-performing
France,-17.05549950861296,under-performing
Singapore,-16.54871479037273,under-performing
Denmark,-16.483945597328464,under-performing
Viet Nam,-15.31741257213324,under-performing
