country_name,residual,kind
Myanmar,30.272296908829134,over-performing
Nauru,29.878605218135647,over-performing
Kiribati,27.413392156347335,over-performing
Timor-Leste,22.584702072851144,over-performing
Papua New Guinea,22.2399120233924,over-performing
Bangladesh,19.149499233240867,over-performing
Ghana,-17.51382365414056,under-performing
Nigeria,-17.178033212924042,under-performing
Barbados,-16.952093918312748,under-performing
Oman,-16.817287421892352,under-performing
Panama,-16.568288728177855,under-performing
Turkmenistan,-15.232686809020276,under-performing
