country_name,residual,kind
Myanmar,31.149445920093086,over-performing
Nauru,29.05929782393256,over-performing
Kiribati,27.11870877112651,over-performing
Papua New Guinea,23.576492654985774,over-performing
Timor-Leste,22.707007209760555,over-performing
Bangladesh,20.58202730342954,over-performing
Barbados,-17.196594763615067,under-performing
Panama,-16.951415249136954,under-performing
Ghana,-16.791822429584002,under-performing
Nigeria,-16.251916668010757,under-performing
Oman,-16.189537005755632,under-performing
Turkmenistan,-15.203814627233026,under-performing
